Date & time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Judge
05/16/22 10:37 PM,475,458,325,174,475,458,325,174,1788,81,
05/17/22 09:21 PM,511,4485,21478,52602,1732,1426,1060,508,6353,255,
05/17/22 09:21 PM,1738,1432,1064,511,1735,1428,1063,510,6381,255,
05/17/22 09:21 PM,1743,1436,1069,514,1737,1430,1065,513,6400,255,
05/17/22 09:23 PM,1734,1429,1062,508,1735,1430,1063,510,6376,255,
05/21/22 09:13 PM,245,1862,52504,49079,834,660,550,245,3173,135,
05/21/22 09:13 PM,839,663,553,246,836,661,551,246,3185,134,
05/21/22 09:14 PM,838,662,552,246,837,662,552,247,3191,135,
05/21/22 09:52 PM,831,659,548,246,828,656,547,245,3148,134,NG
05/21/22 09:59 PM,829,657,547,244,829,658,548,245,3154,134,PASS
05/21/22 10:00 PM,43337,48995,49059,29330,30825,39129,43911,27632,65535,5245,NG
05/21/22 10:12 PM,829,657,546,245,829,657,547,245,3151,134,PASS
05/21/22 10:12 PM,24147,28153,29896,18550,21297,24894,26690,16751,44229,2972,NG
05/25/22 07:38 PM,340,2312,46935,46970,856,675,557,341,3438,142,NG
05/25/22 07:39 PM,814,646,518,234,817,649,519,236,3089,130,PASS
05/25/22 07:41 PM,1292,820,629,333,1291,822,630,334,4892,180,NG
05/25/22 07:41 PM,1361,849,644,344,1360,849,644,344,4953,186,NG
05/25/22 07:42 PM,809,646,511,233,810,648,514,234,3037,130,PASS
05/25/22 07:46 PM,1273,826,640,333,1273,827,642,334,4753,177,NG
05/25/22 08:41 PM,780,617,510,229,785,618,511,231,2971,129,PASS
05/25/22 08:52 PM,925,731,593,343,926,733,595,344,3424,148,NG
05/25/22 08:53 PM,1266,818,644,336,1267,817,645,337,4820,178,NG
05/27/22 08:26 PM,1644,17711,50373,65535,6308,4092,2964,1646,21979,769,NG
05/27/22 08:26 PM,142,129,111,53,143,130,112,53,474,29,NG
05/27/22 08:27 PM,444,337,257,133,445,338,258,133,1660,69,NG
05/27/22 08:27 PM,6581,4277,3102,1723,6568,4269,3101,1722,22835,796,NG
05/27/22 08:27 PM,6553,4259,3093,1716,6555,4258,3096,1720,22822,794,NG
05/27/22 08:27 PM,6348,4124,2991,1668,6353,4127,2996,1674,22202,773,NG
05/27/22 08:28 PM,6487,4170,3041,1701,6497,4177,3048,1708,22950,797,NG
05/27/22 08:29 PM,6550,4223,3076,1715,6560,4231,3083,1722,23099,804,NG
05/27/22 08:31 PM,6567,4237,3083,1716,6576,4243,3090,1723,23106,804,NG
05/27/22 08:31 PM,6594,4272,3105,1725,6557,4247,3090,1720,22901,800,NG
